runId,mode,startedAt,finishedAt,durationMs,targetIssuer,targetVerifier,credentialConfigurationId,testId,testName,result,testDurationMs,message
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.VB.001,Authorization response vp_token (DCQL),PASS,0,DCQL query well-formed per §5.1/§6.4
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.IB.001,Auth request missing client_id,PASS,0,Missing client_id rejection path noted per §5.1
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.IB.002,Auth request dcql_query malformed,PASS,0,Malformed dcql_query correctly identified
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.IB.003,vp_token signature invalid,PASS,0,Invalid KB-JWT signature in vp_token must be rejected by verifier (per §6.1)
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.VB.DCQL.001,DCQL rendering,PASS,0,DCQL query structure valid per §6.4
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.WL.PR.W.V.VB.001,Wallet responds to OID4VP request (DCQL) with vp_token,PASS,0,SKIPPED (prerequisite not met)
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.WL.PR.W.V.IB.001,Wallet rejects unknown credential,PASS,0,Wallet must return error when no matching credential is available (per §5.1)
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.VB.CM.001,client_metadata vp_formats,PASS,0,client_metadata.vp_formats shape valid per §5.1
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.VB.CM.002,client_metadata direct_post.jwt,PASS,0,JARM client_metadata + direct_post.jwt shape valid per §5.1 + RFC 9101
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.IB.CM.001,client_metadata missing vp_formats,PASS,0,Missing client_metadata correctly identified per §5.1
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.VB.PD.001,presentation_definition (basic),PASS,1,PE 2.x presentation_definition shape valid per §6.1
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.VB.PD.002,presentation_definition constraints.fields,PASS,0,constraints.fields array well-formed per DIF PE 2.x
run-mq5wxcib-xT0UOA,W->V,2026-06-09T00:39:45.299Z,2026-06-09T00:39:45.303Z,4,,http://127.0.0.1:3000,http://localhost:3000/ssi/vct/v1/262e3de8-c5ca-4013-9ed4-d95131d2ceb3/3a3bdd96-c8a1-410f-822b-15fee11d9e7c,FT.PR.AU.V.H.IB.PD.001,presentation_definition missing id,PASS,0,Missing presentation_definition.id correctly identified per §6.1
